日付	簡易+詳細	簡易のみ	詳細のみ
2018-7-1	518	270	248
2018-7-2	336	211	125
2018-7-3	286	85	201
2018-7-4	384	137	247
2018-7-5	286	237	49
2018-7-6	134	118	16
2018-7-7	293	237	56
2018-7-8	230	165	65
2018-7-9	518	270	248
2018-7-10	336	211	125
2018-7-11	286	85	201
2018-7-12	384	137	247
2018-7-13	286	237	49
2018-7-14	134	118	16
2018-7-15	293	237	56
2018-7-16	230	165	65
2018-7-17	518	270	248
2018-7-18	336	211	125
2018-7-19	286	85	201
2018-7-20	384	137	247
2018-7-21	286	237	49
2018-7-22	134	118	16
2018-7-23	293	237	56
2018-7-24	230	165	65
2018-7-25	518	270	248
2018-7-26	336	211	125
2018-7-27	286	85	201
2018-7-28	384	137	247
2018-7-29	286	237	49
2018-7-30	134	118	16
2018-7-31	293	237	56
