日付	簡易+詳細	簡易のみ	詳細のみ
2018-8-1	230	165	65
2018-8-2	518	270	248
2018-8-3	336	211	125
2018-8-4	286	85	201
2018-8-5	384	137	247
2018-8-6	286	237	49
2018-8-7	134	118	16
2018-8-8	293	237	56
2018-8-9	230	165	65
2018-8-10	518	270	248
2018-8-11	336	211	125
2018-8-12	286	85	201
2018-8-13	384	137	247
2018-8-14	286	237	49
2018-8-15	134	118	16
2018-8-16	293	237	56
2018-8-17	230	165	65
2018-8-18	518	270	248
2018-8-19	336	211	125
2018-8-20	286	85	201
2018-8-21	384	137	247
2018-8-22	286	237	49
2018-8-23	134	118	16
2018-8-24	293	237	56
2018-8-25	230	165	65
2018-8-26	518	270	248
2018-8-27	336	211	125
2018-8-28	286	85	201
2018-8-29	384	137	247
2018-8-30	286	237	49
2018-8-31	134	118	16
