日付	簡易+詳細	簡易のみ	詳細のみ
2018-4-1	134	118	16
2018-4-2	293	237	56
2018-4-3	230	165	65
2018-4-4	518	270	248
2018-4-5	336	211	125
2018-4-6	286	85	201
2018-4-7	384	137	247
2018-4-8	286	237	49
2018-4-9	134	118	16
2018-4-10	293	237	56
2018-4-11	230	165	65
2018-4-12	518	270	248
2018-4-13	336	211	125
2018-4-14	286	85	201
2018-4-15	384	137	247
2018-4-16	286	237	49
2018-4-17	134	118	16
2018-4-18	293	237	56
2018-4-19	230	165	65
2018-4-20	518	270	248
2018-4-21	336	211	125
2018-4-22	286	85	201
2018-4-23	384	137	247
2018-4-24	286	237	49
2018-4-25	134	118	16
2018-4-26	293	237	56
2018-4-27	230	165	65
2018-4-28	518	270	248
2018-4-29	336	211	125
2018-4-30	286	85	201
