日付	簡易+詳細	簡易のみ	詳細のみ
2018-12-1	336	211	125
2018-12-2	286	85	201
2018-12-3	384	137	247
2018-12-4	286	237	49
2018-12-5	134	118	16
2018-12-6	293	237	56
2018-12-7	230	165	65
2018-12-8	518	270	248
2018-12-9	336	211	125
2018-12-10	286	85	201
2018-12-11	384	137	247
2018-12-12	286	237	49
2018-12-13	134	118	16
2018-12-14	293	237	56
2018-12-15	230	165	65
2018-12-16	518	270	248
2018-12-17	336	211	125
2018-12-18	286	85	201
2018-12-19	384	137	247
2018-12-20	286	237	49
2018-12-21	134	118	16
2018-12-22	293	237	56
2018-12-23	230	165	65
2018-12-24	518	270	248
2018-12-25	336	211	125
2018-12-26	286	85	201
2018-12-27	384	137	247
2018-12-28	286	237	49
2018-12-29	134	118	16
2018-12-30	293	237	56
2018-12-31	230	165	65
