日付	簡易+詳細	簡易のみ	詳細のみ
2018-2-1	286	85	201
2018-2-2	384	137	247
2018-2-3	286	237	49
2018-2-4	134	118	16
2018-2-5	293	237	56
2018-2-6	230	165	65
2018-2-7	518	270	248
2018-2-8	336	211	125
2018-2-9	286	85	201
2018-2-10	384	137	247
2018-2-11	286	237	49
2018-2-12	134	118	16
2018-2-13	293	237	56
2018-2-14	230	165	65
2018-2-15	518	270	248
2018-2-16	336	211	125
2018-2-17	286	85	201
2018-2-18	384	137	247
2018-2-19	286	237	49
2018-2-20	134	118	16
2018-2-21	293	237	56
2018-2-22	230	165	65
2018-2-23	518	270	248
2018-2-24	336	211	125
2018-2-25	286	85	201
2018-2-26	384	137	247
2018-2-27	286	237	49
2018-2-28	134	118	16
