日付	簡易+詳細	簡易のみ	詳細のみ
2018-3-1	293	237	56
2018-3-2	230	165	65
2018-3-3	518	270	248
2018-3-4	336	211	125
2018-3-5	286	85	201
2018-3-6	384	137	247
2018-3-7	286	237	49
2018-3-8	134	118	16
2018-3-9	293	237	56
2018-3-10	230	165	65
2018-3-11	518	270	248
2018-3-12	336	211	125
2018-3-13	286	85	201
2018-3-14	384	137	247
2018-3-15	286	237	49
2018-3-16	134	118	16
2018-3-17	293	237	56
2018-3-18	230	165	65
2018-3-19	518	270	248
2018-3-20	336	211	125
2018-3-21	286	85	201
2018-3-22	384	137	247
2018-3-23	286	237	49
2018-3-24	134	118	16
2018-3-25	293	237	56
2018-3-26	230	165	65
2018-3-27	518	270	248
2018-3-28	336	211	125
2018-3-29	286	85	201
2018-3-30	384	137	247
2018-3-31	286	237	49
