日付	簡易+詳細	簡易のみ	詳細のみ
2018-1-1	367	143	224
2018-1-2	300	107	193
2018-1-3	322	251	71
2018-1-4	205	197	8
2018-1-5	336	271	65
2018-1-6	518	270	248
2018-1-7	336	211	125
2018-1-8	286	85	201
2018-1-9	384	137	247
2018-1-10	286	237	49
2018-1-11	134	118	16
2018-1-12	293	237	56
2018-1-13	230	165	65
2018-1-14	518	270	248
2018-1-15	336	211	125
2018-1-16	286	85	201
2018-1-17	384	137	247
2018-1-18	286	237	49
2018-1-19	134	118	16
2018-1-20	293	237	56
2018-1-21	230	165	65
2018-1-22	518	270	248
2018-1-23	336	211	125
2018-1-24	286	85	201
2018-1-25	384	137	247
2018-1-26	286	237	49
2018-1-27	134	118	16
2018-1-28	293	237	56
2018-1-29	230	165	65
2018-1-30	518	270	248
2018-1-31	336	211	125
