日付	簡易+詳細	簡易のみ	詳細のみ
2018-10-1	286	237	49
2018-10-2	134	118	16
2018-10-3	293	237	56
2018-10-4	230	165	65
2018-10-5	518	270	248
2018-10-6	336	211	125
2018-10-7	286	85	201
2018-10-8	384	137	247
2018-10-9	286	237	49
2018-10-10	134	118	16
2018-10-11	293	237	56
2018-10-12	230	165	65
2018-10-13	518	270	248
2018-10-14	336	211	125
2018-10-15	286	85	201
2018-10-16	384	137	247
2018-10-17	286	237	49
2018-10-18	134	118	16
2018-10-19	293	237	56
2018-10-20	230	165	65
2018-10-21	518	270	248
2018-10-22	336	211	125
2018-10-23	286	85	201
2018-10-24	384	137	247
2018-10-25	286	237	49
2018-10-26	134	118	16
2018-10-27	293	237	56
2018-10-28	230	165	65
2018-10-29	518	270	248
2018-10-30	336	211	125
2018-10-31	286	85	201
