日付	簡易+詳細	簡易のみ	詳細のみ
2018-5-1	384	137	247
2018-5-2	286	237	49
2018-5-3	134	118	16
2018-5-4	293	237	56
2018-5-5	230	165	65
2018-5-6	518	270	248
2018-5-7	336	211	125
2018-5-8	286	85	201
2018-5-9	384	137	247
2018-5-10	286	237	49
2018-5-11	134	118	16
2018-5-12	293	237	56
2018-5-13	230	165	65
2018-5-14	518	270	248
2018-5-15	336	211	125
2018-5-16	286	85	201
2018-5-17	384	137	247
2018-5-18	286	237	49
2018-5-19	134	118	16
2018-5-20	293	237	56
2018-5-21	230	165	65
2018-5-22	518	270	248
2018-5-23	336	211	125
2018-5-24	286	85	201
2018-5-25	384	137	247
2018-5-26	286	237	49
2018-5-27	134	118	16
2018-5-28	293	237	56
2018-5-29	230	165	65
2018-5-30	518	270	248
2018-5-31	336	211	125
