日付	簡易+詳細	簡易のみ	詳細のみ
2018-11-1	384	137	247
2018-11-2	286	237	49
2018-11-3	134	118	16
2018-11-4	293	237	56
2018-11-5	230	165	65
2018-11-6	518	270	248
2018-11-7	336	211	125
2018-11-8	286	85	201
2018-11-9	384	137	247
2018-11-10	286	237	49
2018-11-11	134	118	16
2018-11-12	293	237	56
2018-11-13	230	165	65
2018-11-14	518	270	248
2018-11-15	336	211	125
2018-11-16	286	85	201
2018-11-17	384	137	247
2018-11-18	286	237	49
2018-11-19	134	118	16
2018-11-20	293	237	56
2018-11-21	230	165	65
2018-11-22	518	270	248
2018-11-23	336	211	125
2018-11-24	286	85	201
2018-11-25	384	137	247
2018-11-26	286	237	49
2018-11-27	134	118	16
2018-11-28	293	237	56
2018-11-29	230	165	65
2018-11-30	518	270	248
