日付	簡易+詳細	簡易のみ	詳細のみ
2018-6-1	286	85	201
2018-6-2	384	137	247
2018-6-3	286	237	49
2018-6-4	134	118	16
2018-6-5	293	237	56
2018-6-6	230	165	65
2018-6-7	518	270	248
2018-6-8	336	211	125
2018-6-9	286	85	201
2018-6-10	384	137	247
2018-6-11	286	237	49
2018-6-12	134	118	16
2018-6-13	293	237	56
2018-6-14	230	165	65
2018-6-15	518	270	248
2018-6-16	336	211	125
2018-6-17	286	85	201
2018-6-18	384	137	247
2018-6-19	286	237	49
2018-6-20	134	118	16
2018-6-21	293	237	56
2018-6-22	230	165	65
2018-6-23	518	270	248
2018-6-24	336	211	125
2018-6-25	286	85	201
2018-6-26	384	137	247
2018-6-27	286	237	49
2018-6-28	134	118	16
2018-6-29	293	237	56
2018-6-30	230	165	65
